live_date,live_name,comedian_names
2024/07/06,福岡よしもとお笑いライブ,"笑い飯,ロングコートダディ,サルゴリラ,ジェラードン,フースーヤ,もりやすバンバンビガロ,しゃかりき,マサル,メリコンドル,かば鴉,パスタとパスタ"
2024/07/06,博多モダン,"サルゴリラ,ジェラードン,ロングコートダディ"
2024/07/13,大自然が新ネタやってご飯作るライブ,"大自然,ザ・パンチ,サルゴリラ"
2024/07/13,WEEKEND寄席60,"パンクブーブー,おいでやす小田,サルゴリラ,バイク川崎バイク,ガクテンソク,タモンズ,ダイタク,ミキ,ケビンス"
2024/07/14,神保町よしもとお笑いライブ,"スーパーサイズ・ミー,おミュータンツ,ブラゴーリ,ぼる塾,エルフ,オフローズ,そいそ～す,ソマオ・ミートボール,ピュート,プール,世界クジラ,バッテリィズ,アイロンヘッド,ダブルヒガシ"
2024/07/21,福岡よしもとお笑いライブ,"ジャルジャル,すゑひろがりず,ななまがり,ダイタク,藤崎マーケット,ダブルヒガシ,カイキンショウ,マサル,太宰,フルハウス,喜喜かいばしら,超人パンダ"
2024/07/22,博多meets,"世間知らズ,はるかぜに告ぐ"
2024/07/22,福岡ネタまつり,"世間知らズ,はるかぜに告ぐ,サカイスト,とらんじっと,インクルージョン,パスタとパスタ,パグ,鯉雲,超蝶効果"
2024/07/28,4周年だよ！福岡よしもとお笑いライブ,"令和ロマン,金属バット,ぼる塾,パンクブーブー,こがけん,めぞん,田中健二,メガモッツ,しゃかりき,カーネギー,ザ・ローリングモンキー,とらんじっと,パフェ"
2024/08/12,行杉ザコシの劇場版おまえらいってへんな！おれはいったんやで！といってしまえるひと,"ハリウッドザコシショウ"
2024/09/15,福岡よしもとお笑いライブ,"チュートリアル,銀シャリ,囲碁将棋,コロコロチキチキペッパーズ,サルゴリラ,もりやすバンバンビガロ,レモンティー,しゃかりき,マサル,インクルージョン,パスタとパスタ,スポットライト"
2024/09/28,ルミネtheよしもと　土日祝１３時３０分の部スペシャル,"中川家,ハイキングウォーキング,もう中学生,銀シャリ,インポッシブル,アインシュタイン,インディアンス,木村祐一,大山英雄,千原せいじ,水玉れっぷう隊 ケン,2丁拳銃,国崎恵美,てつみち,ですよ。,アイパー滝沢,かたつむり 林"
2024/11/16,トータルテンボス全国漫才ツアー2024「Pure」in福岡,"トータルテンボス"
2024/12/07,福岡よしもとお笑いライブ,"ロングコートダディ,インディアンス,オズワルド,サルゴリラ,ななまがり,エバース,ヨネダ2000,メガモッツ,気になるあの娘,ザ・ローリングモンキー,パスタとパスタ,パフェ,超人パンダ"
2024/12/15,福岡よしもとお笑いライブ,"令和ロマン,銀シャリ,すゑひろがりず,ガクテンソク,おいでやす小田,コロコロチキチキペッパーズ,サカイスト,しゃかりき,カーネギー,中村圭太,出目金,とらんじっと,スポットライト"
2024/12/15,博多モダン,"銀シャリ,コロコロチキチキペッパーズ,令和ロマン"
2024/12/28,年末だよ！福岡よしもとお笑いライブ,"アインシュタイン,金属バット,もう中学生,ニッポンの社長,ジェラードン,エルフ,ケビンス,サカイスト,しゃかりき,気になるあの娘,ザ・ローリングモンキー,フルハウス,かば鴉,超蝶効果"
2024/12/31,年末だよ！福岡よしもとお笑いライブ,"ギャロップ,コロコロチキチキペッパーズ,ジャングルポケット,こがけん,サルゴリラ,もりやすバンバンビガロ,ZAZY,サカイスト,カーネギー,出目金,超蝶効果,パフェ"
